"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\src\components\templates\p-admin\comments\Comment.jsx", "JavaScript JSX", 0, 132, 0, 4, 15, 151
"a:\projects\club-4k\src\components\templates\p-admin\editProfile\EditProfile.jsx", "JavaScript JSX", 0, 114, 0, 1, 13, 128
"a:\projects\club-4k\src\components\templates\p-admin\gameCourses\GameCourses.jsx", "JavaScript JSX", 0, 106, 0, 4, 9, 119
"a:\projects\club-4k\src\components\templates\p-admin\index\ChallengeChart.jsx", "JavaScript JSX", 0, 57, 0, 0, 8, 65
"a:\projects\club-4k\src\components\templates\p-admin\index\Chart.jsx", "JavaScript JSX", 0, 86, 0, 3, 10, 99
"a:\projects\club-4k\src\components\templates\p-admin\index\DataCart.jsx", "JavaScript JSX", 0, 29, 0, 0, 3, 32
"a:\projects\club-4k\src\components\templates\p-admin\index\GameCoursesChart.jsx", "JavaScript JSX", 0, 98, 0, 0, 8, 106
"a:\projects\club-4k\src\components\templates\p-admin\index\Notifications.jsx", "JavaScript JSX", 0, 41, 0, 0, 4, 45
"a:\projects\club-4k\src\components\templates\p-admin\index\Tickets.jsx", "JavaScript JSX", 0, 83, 0, 0, 5, 88
"a:\projects\club-4k\src\components\templates\p-admin\tickets\AdminTicketsTable.jsx", "JavaScript JSX", 0, 123, 0, 4, 15, 142
"a:\projects\club-4k\src\components\templates\p-admin\tickets\AnswerTicket.jsx", "JavaScript JSX", 0, 85, 0, 2, 9, 96
"a:\projects\club-4k\src\components\templates\p-admin\tickets\TicketModal.jsx", "JavaScript JSX", 0, 52, 0, 2, 9, 63
"a:\projects\club-4k\src\components\templates\p-admin\users\DeleteUserModal.jsx", "JavaScript JSX", 0, 36, 0, 0, 4, 40
"a:\projects\club-4k\src\components\templates\p-admin\users\ModalUser.jsx", "JavaScript JSX", 0, 84, 0, 0, 10, 94
"a:\projects\club-4k\src\components\templates\p-admin\users\Users.jsx", "JavaScript JSX", 0, 173, 0, 4, 14, 191
"a:\projects\club-4k\src\components\templates\p-mainAdmin\admins\AddAdminForm.jsx", "JavaScript JSX", 0, 102, 0, 2, 13, 117
"a:\projects\club-4k\src\components\templates\p-mainAdmin\admins\AdminTable.jsx", "JavaScript JSX", 0, 134, 0, 4, 12, 150
"a:\projects\club-4k\src\components\templates\p-mainAdmin\challenge\ChallengeSection.jsx", "JavaScript JSX", 0, 66, 0, 0, 4, 70
"a:\projects\club-4k\src\components\templates\p-mainAdmin\chatRoom\ChatRoomSection.jsx", "JavaScript JSX", 0, 53, 0, 2, 7, 62
"a:\projects\club-4k\src\components\templates\p-mainAdmin\comments\CommentsSection.jsx", "JavaScript JSX", 0, 78, 0, 0, 4, 82
"a:\projects\club-4k\src\components\templates\p-mainAdmin\editprofile\EditSuperAdminForm.jsx", "JavaScript JSX", 0, 123, 0, 10, 17, 150
"a:\projects\club-4k\src\components\templates\p-mainAdmin\gameNet\DeleteGameNet.jsx", "JavaScript JSX", 0, 50, 0, 1, 7, 58
"a:\projects\club-4k\src\components\templates\p-mainAdmin\gameNet\EditGameNetForm.jsx", "JavaScript JSX", 0, 93, 0, 2, 15, 110
"a:\projects\club-4k\src\components\templates\p-mainAdmin\gameNet\GameNetDetails.jsx", "JavaScript JSX", 0, 32, 0, 0, 4, 36
"a:\projects\club-4k\src\components\templates\p-mainAdmin\gameNet\GameNetsPage.jsx", "JavaScript JSX", 0, 130, 0, 1, 10, 141
"a:\projects\club-4k\src\components\templates\p-mainAdmin\index\DataChart.jsx", "JavaScript JSX", 0, 31, 0, 0, 3, 34
"a:\projects\club-4k\src\components\templates\p-mainAdmin\index\GameNetRegistrationChart.jsx", "JavaScript JSX", 0, 67, 0, 0, 10, 77
"a:\projects\club-4k\src\components\templates\p-mainAdmin\index\GameSessionsChart.jsx", "JavaScript JSX", 0, 81, 0, 1, 5, 87
"a:\projects\club-4k\src\components\templates\p-mainAdmin\index\TicketBox.jsx", "JavaScript JSX", 0, 95, 0, 0, 6, 101
"a:\projects\club-4k\src\components\templates\p-mainAdmin\index\UserRegistrationChart.jsx", "JavaScript JSX", 0, 64, 0, 1, 5, 70
