"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "XML", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"a:\projects\club-4k\src\components\layouts\UserPanelLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"a:\projects\club-4k\src\components\modules\ChallengeBox\ChallengeBox.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"a:\projects\club-4k\src\components\modules\Comment\Comment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 3, 3
"a:\projects\club-4k\src\components\modules\MotivationBox\MotivationBox.jsx", "JavaScript JSX", 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"a:\projects\club-4k\src\components\modules\Navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"a:\projects\club-4k\src\components\modules\NewsBox\NewsBox.jsx", "JavaScript JSX", 0, 0, 0, -4, 0, 0, 0, 5, 3, 4
"a:\projects\club-4k\src\components\modules\P-admin\NewsBoxAdminPanel.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"a:\projects\club-4k\src\components\modules\P-admin\SideBar.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"a:\projects\club-4k\src\components\templates\Profile\ChallengeArticle.jsx", "JavaScript JSX", 0, 0, 0, 64, 0, 0, 0, 2, 2, 68
"a:\projects\club-4k\src\components\templates\Profile\ProfilePageTemplate.jsx", "JavaScript JSX", 0, 0, 0, 431, 0, 0, 0, 1, 14, 446
"a:\projects\club-4k\src\components\templates\challenge\ChallengeCard.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 1, 3, 47
"a:\projects\club-4k\src\components\templates\challenge\ChallengeForm.jsx", "JavaScript JSX", 0, 0, 0, 103, 0, 0, 0, -2, 4, 105
"a:\projects\club-4k\src\components\templates\challenge\ChallengeSection.jsx", "JavaScript JSX", 0, 0, 0, 172, 0, 0, 0, 5, 22, 199
"a:\projects\club-4k\src\components\templates\comment\Comment.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 11, 92
"a:\projects\club-4k\src\components\templates\echo\Echo.jsx", "JavaScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 15, 102
"a:\projects\club-4k\src\components\templates\forgotPassword\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 251, 0, 0, 0, 0, 10, 261
"a:\projects\club-4k\src\components\templates\index\Challenge\Challenge.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 1, 6, 24
"a:\projects\club-4k\src\components\templates\index\Comments\Comments.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"a:\projects\club-4k\src\components\templates\index\Leaderboard\Leaderboard.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"a:\projects\club-4k\src\components\templates\index\Motivational\Motivational.jsx", "JavaScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"a:\projects\club-4k\src\components\templates\index\News\News.jsx", "JavaScript JSX", 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"a:\projects\club-4k\src\components\templates\index\chat\Chat.jsx", "JavaScript JSX", 0, 0, 0, 74, 0, 0, 0, 3, 5, 82
"a:\projects\club-4k\src\components\templates\index\chat\MainChat.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"a:\projects\club-4k\src\components\templates\index\chat\Messages.jsx", "JavaScript JSX", 0, 0, 0, 302, 0, 0, 0, 27, 49, 378
"a:\projects\club-4k\src\components\templates\index\chat\SendMessage.jsx", "JavaScript JSX", 0, 0, 0, 87, 0, 0, 0, 4, 11, 102
"a:\projects\club-4k\src\components\templates\login\Login.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, -4, 4, 104
